epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1979.83,0.44235,0.58077,0.86977,0.86972,0.88464,0.89599,0.82606,0.40141,0.78546,0.81079,0.00113889,0.00113889,0.00113889
18,2084.53,0.44455,0.567,0.86641,0.84663,0.90375,0.91851,0.83763,0.40546,0.72661,0.80704,0.00110589,0.00110589,0.00110589
19,2156.87,0.44269,0.54363,0.86823,0.80854,0.90776,0.91516,0.83245,0.42072,0.75903,0.81573,0.00107288,0.00107288,0.00107288
20,2217.93,0.42696,0.55534,0.85762,0.85753,0.90495,0.92647,0.85331,0.39614,0.66569,0.80944,0.00103987,0.00103987,0.00103987
21,2279.83,0.41495,0.52795,0.85049,0.85478,0.89411,0.92297,0.85965,0.3679,0.7094,0.79952,0.00100687,0.00100687,0.00100687
22,2339.71,0.42194,0.51815,0.8601,0.8861,0.91386,0.93218,0.87011,0.36362,0.61186,0.79755,0.000973861,0.000973861,0.000973861
23,2401.37,0.41349,0.51172,0.84989,0.85558,0.89154,0.91375,0.85012,0.38144,0.63814,0.80041,0.000940855,0.000940855,0.000940855
24,2464.43,0.41306,0.50942,0.84527,0.83385,0.87651,0.92063,0.86175,0.35039,0.65782,0.79621,0.000907848,0.000907848,0.000907848
25,2537.97,0.40425,0.49948,0.84987,0.8789,0.91173,0.93989,0.88234,0.3429,0.57952,0.7914,0.000874842,0.000874842,0.000874842
26,2613.87,0.4012,0.49214,0.8427,0.77413,0.89655,0.91065,0.85127,0.35181,0.73196,0.79506,0.000841835,0.000841835,0.000841835
27,2750.39,0.39737,0.48321,0.84926,0.8434,0.80656,0.88586,0.83344,0.34028,0.75423,0.78901,0.000808828,0.000808828,0.000808828
28,2871.72,0.39853,0.4861,0.85299,0.81175,0.89399,0.90942,0.86084,0.33422,0.64247,0.7897,0.000775822,0.000775822,0.000775822
29,2981.51,0.38775,0.4473,0.83879,0.73645,0.90187,0.8706,0.82543,0.34171,0.72789,0.78876,0.000742815,0.000742815,0.000742815
30,3075.33,0.39942,0.45084,0.84718,0.81088,0.86379,0.89127,0.84177,0.32874,0.66555,0.78833,0.000709809,0.000709809,0.000709809
31,3162,0.38969,0.42415,0.84123,0.84996,0.89614,0.92304,0.86593,0.33587,0.6178,0.79077,0.000676802,0.000676802,0.000676802
32,3252.03,0.38124,0.43339,0.83856,0.78594,0.86298,0.88489,0.83305,0.33192,0.8326,0.78911,0.000643795,0.000643795,0.000643795
33,3343.87,0.37436,0.43385,0.83705,0.82926,0.8141,0.87334,0.82979,0.32896,0.82937,0.78769,0.000610789,0.000610789,0.000610789
34,3473.3,0.37497,0.42565,0.8358,0.80852,0.87238,0.88979,0.83886,0.33775,0.74958,0.79115,0.000577782,0.000577782,0.000577782
35,3652.62,0.36966,0.4349,0.84166,0.85742,0.90354,0.94051,0.88708,0.33531,0.55705,0.79062,0.000544776,0.000544776,0.000544776
36,3791.49,0.37341,0.42202,0.84754,0.91301,0.93732,0.95503,0.8941,0.35864,0.5013,0.79927,0.000511769,0.000511769,0.000511769
37,3998,0.38612,0.42865,0.84462,0.9172,0.93341,0.95501,0.90533,0.3339,0.48642,0.7892,0.000478762,0.000478762,0.000478762
38,4231.6,0.36965,0.41216,0.84116,0.89629,0.89678,0.94462,0.89662,0.32765,0.51358,0.78885,0.000445756,0.000445756,0.000445756
39,4402.73,0.36641,0.40334,0.8356,0.88575,0.88135,0.93672,0.88884,0.32574,0.52821,0.78744,0.000412749,0.000412749,0.000412749
40,4479.5,0.3655,0.38683,0.83589,0.88666,0.93014,0.96124,0.91864,0.32039,0.45249,0.7863,0.000379743,0.000379743,0.000379743
41,4558.16,0.33606,0.38527,0.81391,0.91601,0.89852,0.97233,0.92564,0.32148,0.50097,0.78809,0.000346736,0.000346736,0.000346736
42,4642.47,0.33482,0.389,0.81537,0.90785,0.897,0.97735,0.93281,0.3263,0.52835,0.7878,0.000313729,0.000313729,0.000313729
43,4731.15,0.33862,0.38074,0.8129,0.87224,0.91271,0.9728,0.93199,0.31786,0.50594,0.78564,0.000280723,0.000280723,0.000280723
44,4807.76,0.33294,0.35128,0.80572,0.87074,0.95915,0.97382,0.92353,0.33165,0.46642,0.78828,0.000247716,0.000247716,0.000247716
45,4882.9,0.33028,0.35812,0.80622,0.90165,0.9531,0.97293,0.92885,0.32068,0.46574,0.78598,0.00021471,0.00021471,0.00021471
46,4964.65,0.3251,0.34832,0.81416,0.90221,0.93626,0.97115,0.92434,0.31817,0.47424,0.78695,0.000181703,0.000181703,0.000181703
47,5043.49,0.3276,0.341,0.81192,0.90427,0.92884,0.97048,0.9251,0.31493,0.46519,0.78602,0.000148696,0.000148696,0.000148696
48,5130.62,0.31896,0.33013,0.80469,0.90493,0.96885,0.9766,0.93011,0.31788,0.396,0.7861,0.00011569,0.00011569,0.00011569
49,5247.82,0.31904,0.32715,0.81286,0.90984,0.96543,0.97183,0.92589,0.3183,0.39961,0.78621,8.26832e-05,8.26832e-05,8.26832e-05
50,5352.78,0.32142,0.32206,0.80758,0.93034,0.92476,0.96761,0.92424,0.31664,0.412,0.78563,4.96766e-05,4.96766e-05,4.96766e-05
