epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.934,0.63792,2.91931,1.00416,0.03866,1,0.30117,0.19537,0.48532,3.07269,0.85329,0.00013336,0.00013336,0.00013336
2,236.494,0.56845,1.85308,0.91974,0.48782,0.17721,0.51038,0.44543,0.47911,2.55778,0.84437,0.000277779,0.000277779,0.000277779
3,337.124,0.50344,1.31356,0.89621,0.05958,1,0.53584,0.47758,0.46471,2.64326,0.8257,0.000416257,0.000416257,0.000416257
4,458.552,0.50984,1.12347,0.90797,0.58162,0.4223,0.56131,0.50379,0.46377,2.04159,0.82459,0.000548793,0.000548793,0.000548793
5,569.817,0.48537,0.96755,0.89951,0.50444,0.9779,0.6597,0.6036,0.40844,1.33071,0.81929,0.000675388,0.000675388,0.000675388
6,701.211,0.46774,0.89773,0.87839,0.60938,0.63208,0.71579,0.64918,0.4266,1.52371,0.81427,0.000796043,0.000796043,0.000796043
7,816.508,0.45801,0.79091,0.8635,0.76363,0.84584,0.85794,0.76911,0.44241,0.92389,0.82579,0.000910755,0.000910755,0.000910755
8,933.655,0.45761,0.75196,0.87537,0.73126,0.79145,0.77517,0.71501,0.3914,1.10922,0.8047,0.00101953,0.00101953,0.00101953
9,1055.47,0.46366,0.73468,0.87052,0.79164,0.86454,0.87915,0.7942,0.43105,1.01892,0.81795,0.00112236,0.00112236,0.00112236
10,1195.99,0.45894,0.676,0.86504,0.82134,0.89515,0.88191,0.80194,0.43536,0.81955,0.82087,0.00121925,0.00121925,0.00121925
11,1293.88,0.44538,0.64505,0.86317,0.83594,0.86546,0.88694,0.82218,0.38196,0.81389,0.80309,0.0013102,0.0013102,0.0013102
12,1375.91,0.44917,0.67295,0.86255,0.85952,0.86256,0.86182,0.78679,0.43578,0.97341,0.81321,0.00130393,0.00130393,0.00130393
13,1481.91,0.46664,0.62948,0.86065,0.81452,0.85879,0.87166,0.78775,0.43823,0.9408,0.82221,0.00127092,0.00127092,0.00127092
14,1586.82,0.4841,0.63912,0.86896,0.85409,0.84212,0.90932,0.83902,0.40729,0.84638,0.80633,0.00123791,0.00123791,0.00123791
15,1709.87,0.44861,0.59838,0.85881,0.84251,0.82591,0.88197,0.81422,0.39342,0.98156,0.80581,0.00120491,0.00120491,0.00120491
16,1849.38,0.44338,0.57995,0.85566,0.92423,0.91569,0.93743,0.85145,0.44151,0.69026,0.8201,0.0011719,0.0011719,0.0011719
